Brand,Model,Year,Listing #,Asking Price (PHP),Mileage (km),Transmission,Fuel Type,Color,Location,Source,Listing URL,Notes,Year Posted,Year Listed,Sold Status,Has Issue (T/F),Condition Summary
Ford,EcoSport,2015,1,527375,60337,Manual,Gas,Brown,Cavite,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2015-1-1403881011/,"Market-based estimate for 2015 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2015,2,482396,58380,Manual,Gas,Orange,"Las Pinas, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2015-1-1380355516/,"Market-based estimate for 2015 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2015,3,425984,49971,Manual,Gas,White,"Paranaque, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2015-ecosport-for-sale-aid8950197,"Market-based estimate for 2015 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2015,4,534007,52354,Automatic,Gas,Brown,Bulacan,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2015-1-1398847200/,"Market-based estimate for 2015 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2015,5,508483,62448,Automatic,Gas,Gray,"Pasig, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2015-1-1355957554/,"Market-based estimate for 2015 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2015,6,545561,58857,Manual,Gas,Blue,"Taguig, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2015-1-1423080286/,"Market-based estimate for 2015 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2015,7,461364,60550,Automatic,Gas,Orange,"Pasig, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2015-1-1408919524/,"Market-based estimate for 2015 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2015,8,541658,57492,Manual,Gas,White,"Paranaque, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2015-1-1380339231/,"Market-based estimate for 2015 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2015,9,455237,48619,Manual,Gas,Red,"Makati, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2015-ecosport-for-sale-aid8695159,"Market-based estimate for 2015 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2015,10,567413,52417,Automatic,Gas,Orange,"Cebu City, Cebu",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2015-1-1360974632/,"Market-based estimate for 2015 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2016,1,430896,61685,Automatic,Gas,Red,"Davao City, Davao",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2016-1-1427729228/,"Market-based estimate for 2016 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2016,2,573781,67592,Automatic,Gas,Gray,Laguna,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2016-1-1382568820/,"Market-based estimate for 2016 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2016,3,474869,48238,Automatic,Gas,Gray,"Davao City, Davao",Market estimate - based on Carousell/Philkotse avg,https://philkotse.com/ford-ecosport-for-sale-in-quezon-city/2016-ecosport-for-sale-aid8182346,"Market-based estimate for 2016 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2016,4,502889,69100,Automatic,Gas,White,"Las Pinas, Metro Manila",Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2016-1-1393900956/,"Market-based estimate for 2016 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
Ford,EcoSport,2016,5,519306,51717,Manual,Gas,Gray,Cavite,Market estimate - based on Carousell/Philkotse avg,https://www.carousell.ph/p/ford-ecosport-2016-1-1409360316/,"Market-based estimate for 2016 Ford EcoSport - avg from online listings PHP 500,000",2024,2024,Available,0,Good condition - market priced based on 0 real listings for this model
